# Server version 0.08 running on 142.157.219.177:8123
# Game ID: 189
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sun Apr 03 09:54:58 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260568170', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260568170
PIT 0 23
PIT 1 22
PIT 0 18
PIT 1 21
PIT 0 22
PIT 1 6
PIT 0 9
PIT 1 12
PIT 0 12
PIT 1 23
PIT 0 16
PIT 1 22
PIT 0 20
PIT 1 25
PIT 0 2
PIT 1 9
PIT 0 26
PIT 1 14
PIT 0 5
PIT 1 28
PIT 0 1
PIT 1 10
GAMEOVER WINNER 1
# Game ended: Sun Apr 03 09:55:03 EDT 2016
